date,%pos,%neg,%neu,Open,Close,High,Low,Volume
2025-06-13,0.0,0.0,1.0,313.9700012207031,325.30999755859375,332.989990234375,313.29998779296875,128964300
2025-06-17,0.5,0.0,0.5,326.0899963378906,316.3500061035156,327.260009765625,314.739990234375,88282700
2025-06-20,0.0,1.0,0.0,327.95001220703125,322.1600036621094,332.3599853515625,317.7799987792969,108688000
2025-06-25,0.0,0.0,1.0,342.70001220703125,327.54998779296875,343.0,320.3999938964844,119845100
2025-06-26,0.0,1.0,0.0,324.6099853515625,325.7799987792969,331.04998779296875,323.6099853515625,80440900
2025-06-27,0.0,0.0,1.0,324.510009765625,323.6300048828125,329.3399963378906,317.5,89067000
2025-06-30,0.0,1.0,0.0,319.8999938964844,317.6600036621094,325.5799865722656,316.6000061035156,76695100
2025-07-01,0.0,0.6666666666666666,0.3333333333333333,298.4599914550781,300.7099914550781,305.8900146484375,293.2099914550781,145085700
2025-07-03,0.0,0.0,1.0,317.989990234375,315.3500061035156,318.45001220703125,312.760009765625,58042300
2025-07-07,0.0,1.0,0.0,291.3699951171875,293.94000244140625,296.1499938964844,288.7699890136719,131177900
2025-07-09,0.0,0.0,1.0,297.54998779296875,295.8800048828125,300.1499938964844,293.54998779296875,75586800
2025-07-10,1.0,0.0,0.0,300.04998779296875,309.8699951171875,310.4800109863281,300.0,104365300
