date,Open,Close,High,Low,Volume
2025-04-04,255.3800048828125,239.42999267578125,261.0,236.0,181229400
2025-04-07,223.77999877929688,233.2899932861328,252.0,214.25,183453800
2025-04-08,245.0,221.86000061035156,250.44000244140625,217.8000030517578,171603500
2025-04-09,224.69000244140625,272.20001220703125,274.69000244140625,223.8800048828125,219433400
2025-04-10,260.0,252.39999389648438,262.489990234375,239.3300018310547,181722600
2025-04-11,251.83999633789062,252.30999755859375,257.739990234375,241.36000061035156,128948100
2025-04-14,258.3599853515625,252.35000610351562,261.79998779296875,245.92999267578125,100135200
2025-04-15,249.91000366210938,254.11000061035156,258.75,247.5399932861328,79594300
2025-04-16,247.61000061035156,241.5500030517578,251.97000122070312,233.88999938964844,112378700
2025-04-17,243.47000122070312,241.3699951171875,244.33999633789062,237.67999267578125,83404800
2025-04-21,230.25999450683594,227.5,232.2100067138672,222.7899932861328,97768000
2025-04-22,230.9600067138672,237.97000122070312,242.7899932861328,229.85000610351562,120858500
2025-04-23,254.86000061035156,250.74000549316406,259.45001220703125,244.42999267578125,150381900
2025-04-24,250.5,259.510009765625,259.5400085449219,249.1999969482422,94464200
2025-04-25,261.69000244140625,284.95001220703125,286.8500061035156,259.6300048828125,167560700
2025-04-28,288.9800109863281,285.8800048828125,294.8599853515625,272.4200134277344,151731800
2025-04-29,285.5,292.0299987792969,293.32000732421875,279.4700012207031,108906600
2025-04-30,279.8999938964844,282.1600036621094,284.45001220703125,270.7799987792969,128961100
2025-05-01,280.010009765625,280.5199890136719,290.8699951171875,279.80999755859375,99659000
2025-05-02,284.8999938964844,287.2099914550781,294.7799987792969,279.80999755859375,114454700
2025-05-05,284.57000732421875,280.260009765625,284.8500061035156,274.3999938964844,94618900
2025-05-06,273.1099853515625,275.3500061035156,277.7300109863281,271.3500061035156,76715800
2025-05-07,276.8800048828125,276.2200012207031,277.9200134277344,271.0,71592600
2025-05-08,279.6300048828125,284.82000732421875,289.79998779296875,279.4100036621094,97539400
2025-05-09,290.2099914550781,298.260009765625,307.0400085449219,290.0,132387800
2025-05-12,321.989990234375,318.3800048828125,322.2099914550781,311.5,112826700
2025-05-13,320.0,334.07000732421875,337.5899963378906,316.79998779296875,136992600
2025-05-14,342.5,347.67999267578125,350.0,337.0,136997300
2025-05-15,340.3399963378906,342.82000732421875,346.1400146484375,334.7200012207031,97882600
2025-05-16,346.239990234375,349.9800109863281,351.6199951171875,342.3299865722656,95895700
2025-05-19,336.29998779296875,342.0899963378906,343.0,333.3699951171875,88869900
2025-05-20,347.8699951171875,343.82000732421875,354.989990234375,341.6300048828125,131715500
2025-05-21,344.42999267578125,334.6199951171875,347.3500061035156,332.20001220703125,102354800
2025-05-22,331.8999938964844,341.0400085449219,347.2699890136719,331.3900146484375,97113400
2025-05-23,337.9200134277344,339.3399963378906,343.17999267578125,333.2099914550781,84654800
2025-05-27,347.3500061035156,362.8900146484375,363.7900085449219,347.32000732421875,120146400
2025-05-28,364.8399963378906,356.8999938964844,365.0,355.9100036621094,91404300
2025-05-29,365.2900085449219,358.42999267578125,367.7099914550781,356.0,88545700
2025-05-30,355.5199890136719,346.4599914550781,363.67999267578125,345.2900085449219,123474900
2025-06-02,343.5,342.69000244140625,348.0199890136719,333.3299865722656,81873800
2025-06-03,346.6000061035156,344.2699890136719,355.3999938964844,343.0400085449219,99324500
2025-06-04,345.1000061035156,332.04998779296875,345.6000061035156,327.3299865722656,98912100
2025-06-05,322.489990234375,284.70001220703125,324.54998779296875,273.2099914550781,287499800
2025-06-06,298.8299865722656,295.1400146484375,305.5,291.1400146484375,164747700
2025-06-09,285.9599914550781,308.5799865722656,309.8299865722656,281.8500061035156,140908900
2025-06-10,314.94000244140625,326.0899963378906,327.8299865722656,310.6700134277344,151256500
2025-06-11,334.3999938964844,326.42999267578125,335.5,322.5,122611400
2025-06-12,323.0799865722656,319.1099853515625,332.55999755859375,316.8599853515625,105127500
2025-06-13,313.9700012207031,325.30999755859375,332.989990234375,313.29998779296875,128964300
2025-06-16,331.2900085449219,329.1300048828125,332.04998779296875,326.4100036621094,83925900
2025-06-17,326.0899963378906,316.3500061035156,327.260009765625,314.739990234375,88282700
2025-06-18,317.30999755859375,322.04998779296875,329.32000732421875,315.45001220703125,95137700
2025-06-20,327.95001220703125,322.1600036621094,332.3599853515625,317.7799987792969,108688000
2025-06-23,327.5400085449219,348.67999267578125,357.5400085449219,327.4800109863281,190716800
2025-06-24,356.1700134277344,340.4700012207031,356.260009765625,340.44000244140625,114736200
2025-06-25,342.70001220703125,327.54998779296875,343.0,320.3999938964844,119845100
2025-06-26,324.6099853515625,325.7799987792969,331.04998779296875,323.6099853515625,80440900
2025-06-27,324.510009765625,323.6300048828125,329.3399963378906,317.5,89067000
2025-06-30,319.8999938964844,317.6600036621094,325.5799865722656,316.6000061035156,76695100
2025-07-01,298.4599914550781,300.7099914550781,305.8900146484375,293.2099914550781,145085700
2025-07-02,312.6300048828125,315.6499938964844,316.8299865722656,303.82000732421875,119483700
2025-07-03,317.989990234375,315.3500061035156,318.45001220703125,312.760009765625,58042300
2025-07-07,291.3699951171875,293.94000244140625,296.1499938964844,288.7699890136719,131177900
2025-07-08,297.0,297.80999755859375,304.04998779296875,294.3500061035156,103246700
2025-07-09,297.54998779296875,295.8800048828125,300.1499938964844,293.54998779296875,75586800
2025-07-10,300.04998779296875,309.8699951171875,310.4800109863281,300.0,104365300
2025-07-11,307.8900146484375,313.510009765625,314.0899963378906,305.6499938964844,78921900
